Name,speaker,alarm_state,trigger,line,note,sources
Barks_01_WatchmanDozeStartPerceptionC,Watchman,QUIET,WatchmanDozeStart_PerceptionConeDroops,Nothing ever comes over that treeline... nothing... ever...,"The doze is a timer on his perception cone; the bark sells the drooping cone as boredom, and sets up the joke that the one thing that never comes is coming.",GDD§2.10#0 GDD§2.6#1 GDD§3.1#5
Barks_02_PenChoresFlockAmbient,Civilian,QUIET,PenChores_FlockAmbient,"Settle down, you feathered idiots, nobody's shearing you — it's the sheep's day.","QUIET is pen chores and pottering; the pens hold chickens, sheep and pigs as distinct stock, so the chore is correctly the sheep's while still planting the canon 'shearing day' rhythm for the later goblin denial callback.",GDD§2.6#1 GDD§2.10#0 GDD§2.7#1 GDD§2.7#0
Barks_03_CoinTossHeardScrambleBegins,Guard,QUIET,CoinTossHeard_ScrambleBegins,"Is that a penny? That's my penny, I've been looking for that penny.","The coin toss works on guards because greed is an exploitable AI stat — he doesn't wonder who threw it, he claims it.",GDD§2.4#1 GDD§2.10#0
Barks_04_PatrolWaypointCheckIn,PatrolArcher,QUIET,PatrolWaypointCheckIn,"Waypoint's clear, horn's dry, back in five— six if the mud's bad. Mark us in.","Establishes the 5–7 minute sweep-and-check-in cadence in the player's ear so the later overdue-patrol soft signal reads as a real signal, not a mystery.",GDD§2.1#1 GDD§3.4#0 GDD§2.6#1
Barks_05_SightingUnconfirmedDecayedTo,Guard,QUIET,SightingUnconfirmed_DecayedToQuiet,Little green fella by the haycart... no. No. Badger. Big badger. Long day.,An uncorroborated soft signal decays back to QUIET; the propaganda does the reasoning for him and he talks himself back down mid-bark.,GDD§2.6#1 GDD§2.10#0 GDD§2.4#0
Barks_06_FlockStartledNearestGuardInv,Guard,SUSPICIOUS,FlockStartled_NearestGuardInvestigates,"Hens are off — right, who's been in the pen, and did they leave the gate again?","The squawking flock is a noise event that pulls the nearest guard; he investigates a theft-by-neighbour, not an invasion.",GDD§2.7#1 GDD§2.6#1 GDD§3.1#5
Barks_07_CorpseSightedInvestigateBody,Guard,SUSPICIOUS,CorpseSighted_InvestigateBody,"He's dead, and he's not saying who did it, so I'm putting this down as an accident with a very sharp accident.",Canon says a guard finding a corpse goes only to Suspicious — the denial has to visibly do work here rather than sound the bell.,GDD§2.4#1 GDD§2.6#1 GDD§2.10#0
Barks_08_CorpseSightedCivilianReactio,Civilian,SUSPICIOUS,CorpseSighted_CivilianReaction,"That's not a goblin's work, the king killed all of them — there's a statue of him doing it right there.",Second evidence beat on the same corpse: the villager cites the propaganda statue in the village center as if it were forensics.,GDD§2.10#0 GDD§2.10#1 GDD§2.6#2
Barks_09_PatrolOverdueNoWaypointCheck,Guard,SUSPICIOUS,PatrolOverdue_NoWaypointCheckIn,"Wood patrol's late again — she'll have stopped to shake a toll out of some carter, she always does.","The overdue-patrol soft signal has no HUD timer, so the tell is this mutter; greed is the explanation he reaches for first.",GDD§2.6#1 GDD§3.4#0 GDD§2.10#0
Barks_10_WatchmanDozeInterruptedActua,Watchman,SUSPICIOUS,WatchmanDozeInterrupted_ActuallyWatches,"I was not asleep, I was watching the inside of my eyelids — for goblins — which are extinct.",SUSPICIOUS makes the watchman actually watch; the excuse strains under its own logic in one breath.,GDD§2.6#1 GDD§2.10#0 GDD§3.1#5
Barks_11_CoinScrambleBreaksOffInvesti,Militia,SUSPICIOUS,CoinScramble_BreaksOffInvestigation,"Hold the search — someone's dropped silver, and finders is finders.",Shows greed beating duty at exactly the moment duty mattered; the coin toss pulling a man off an active investigation is the thesis in one line.,GDD§2.4#1 GDD§2.10#0 GDD§2.6#1
Barks_12_PatrolLosingFightHornWindUp,PatrolArcher,SUSPICIOUS,PatrolLosingFight_HornWindUp,"We're losing — horn, horn, I'm winding the—","The horn is a committed, interruptible wind-up sounded only when the patrol is losing; cutting the line off mid-word is the player's window.",GDD§2.1#1 GDD§2.6#1
Barks_13_BellRungAlarmConfirmed,Watchman,RAID,BellRung_AlarmConfirmed,Bell! Bell! It's a— it's a badger with a knife and a hat!,"Escalation to RAID with the denial audibly cracking: he rings it, but still can't say the word 'goblin'.",GDD§2.6#1 GDD§2.10#0 GDD§2.10#1
Barks_14_BucketLineFormingAtWell,Civilian,RAID,BucketLineForming_AtWell,"Pass it, pass it — and whose bucket is this, I want it back after!",Bucket lines form at the well in RAID; even mid-fire the villager is doing property accounting.,GDD§2.6#2 GDD§3.1#5 GDD§2.10#0
Barks_15_BucketBrigadeDisabledWellFou,Militia,RAID,BucketBrigadeDisabled_WellFouled,Don't throw that on the granary — smell it! Something's been *in* the well!,Pays off the fouled-well counterplay: the brigade is permanently disabled and the player hears why.,GDD§2.6#2 GDD§2.6#3 GDD§3.1#5
Barks_16_BarracksSpawnFirstSighting,Archer,RAID,BarracksSpawn_FirstSighting,"Extinct, they said! That one's got a chicken under each arm!",Fresh barracks spawn confronting the evidence — the chickens-under-both-arms carry is canon and the funniest possible thing to be in denial about.,GDD§2.6#1 GDD§2.7#1 GDD§2.10#0
Barks_17_RazedLastPushDenialCollapses,Guard,RAZED,RazedLastPush_DenialCollapses,Fine! Goblins! Somebody go and tell the statue!,"The denial finally breaks at RAZED — the punchline landing on the people telling the joke, aimed at the propaganda statue.",GDD§2.6#1 GDD§2.10#1 GDD§2.10#3
Barks_18_ChaosPeakCivilianLootsOwnSta,Civilian,RAZED,ChaosPeak_CivilianLootsOwnStall,"Nobody's minding this stall, and nobody's minding me, so this is mine now.","The stretch behaviour where civilians loot their own market stalls and bolt, competing with the player for the hamlet's gold.",GDD§2.6#2 GDD§2.10#0
