Name,trigger,category,line,note,sources
Whispers_01_ClockTenMinutes,Clock.TenMinutes,ClockNudge,"Ten minutes, goblin. I am checking on you. Something should be on fire by now.",§2.2 clock pressure: the Overlord's whispers check in at the 10-minute mark; arson is the objective that can't be hidden.,GDD§2.2#0 GDD§1#2 GDD§2.10#0
Whispers_02_ClockFiveMinutes,Clock.FiveMinutes,ClockNudge,Five minutes. What still stands lies {dir} — follow the smoke and stop admiring the pigs.,§2.2: at 5 the whisper names a direction; wayfinding is environmental (§2.8). Register from §2.10 — mockery over mourning.,GDD§2.2#0 GDD§2.8#3 GDD§2.10#3
Whispers_03_ClockTwoMinutes,Clock.TwoMinutes,ClockNudge,"Two minutes. The stones are {dir}. Run, thief — I close the portal, not the door.",§2.2: inside the final 2 the Overlord points you there outright; the runic site is the one safe tile and the extraction point (§2.1).,GDD§2.2#0 GDD§2.1#1
Whispers_04_ObjectiveStatueToppleFirstT,Objective.Statue.Topple.FirstTime,ObjectiveBark,"Stone does not burn, goblin — that is rather the point of it. Hook him, and walk. They carved him standing on our bones; let them watch him come down onto theirs.","Replaces the retired granary Stage-1 whisper. The statue is the one required objective that cannot be burned - it is grappled and hauled over - and it is the most thematically loaded thing in the hamlet: a monument to the king who supposedly wiped the goblins out, pulled down by one.",GDD§6#3 GDD§4#2 GDD§1#1
Whispers_05_ObjectiveFieldStage1FirstTim,Objective.Field.Stage1.FirstTime,ObjectiveBark,"One torch in the wheat, goblin. The fire walks the rows itself — let their buckets try to keep up.","Sibling first-time prompt: field fire spreads row to row, the most visible arson and hardest to douse (§2.8); the town answers with bucket lines at the well (§2.6).",GDD§2.8#1 GDD§2.8#3 GDD§2.6#3
Whispers_06_LootFirstSackBanked,Loot.FirstSackBanked,MilestoneWhisper,The first sack crosses the stones. It is mine now. Nothing they shout un-takes it.,"Loot banks permanently the instant it physically reaches the runic site — wipe-proof (§1, §2.2).",GDD§1#1 GDD§2.2#0 GDD§3.1#5
Whispers_07_LootPigBanked,Loot.PigBanked,MilestoneWhisper,"Behold — a pig. Stolen from a hamlet too small for them to have named it. Tremble, Groatsworth.","Apocalyptic gravitas applied to petty theft; stolen livestock is loot-kind and banks at the stones (§2.9, §2.10, §1).",GDD§2.10#0 GDD§2.9#0 GDD§1#0
Whispers_08_LootStrongboxBanked,Loot.StrongboxBanked,MilestoneWhisper,"Their strongbox, emptied through its own smashed lid. They will blame the badger for that too.","Strongbox is a market-core destructible smashed open for its coins (§2.7, §3.2), and the town's first reaction is denial (§2.10).",GDD§2.7#3 GDD§3.2#1 GDD§2.10#1
Whispers_09_VerdictWinRazedThorough,Verdict.Win.RazedThorough,EndVerdict,"Market, mill and the king himself, face down in his own square. They will tell it as a storm. …adequate.","Replaces a capture-heavy verdict; bind was cut 2026-08-14, so the win contrast is now thorough destruction against a smash-and-grab, not prisoners against a corpse pile.",GDD§6#3 GDD§10#1 GDD§1#1
Whispers_10_VerdictWinRichObjectivesThin,Verdict.Win.RichObjectivesThin,EndVerdict,"Gold, a pig, and the king still standing where you left him. Pockets full, errand half done. I have seen rats do better. …adequate.",The greedy-but-incomplete verdict. Replaces a captives-based contrast (bind cut 2026-08-14) with the loot-versus-objectives tension the score screen actually splits.,GDD§9#1 GDD§10#1
Whispers_14_VerdictLossWipe,Verdict.Loss.Wipe,EndVerdict,"Five lives spent for a quarter of your deeds. What reached the stones is mine. You, apparently, are not.","Loss by spending all 5 lives keeps only 25% of unbanked deeds; loot already at the stones or the Warren is safe regardless (§2.2, §1, §2.6).",GDD§2.2#0 GDD§1#2 GDD§2.6#3
