Name,trigger,overlord_bark,hud_line,control,sources
Prompts_01_FirstSightMarket,FirstSight.Market,"The stalls, goblin. Their whole livelihood, stacked in wicker and waiting. Light it. …adequate.","Market — burn the stalls: one of three targets. Torch: Q, then LMB",Q,GDD§6#1 GDD§6#2 GDD§4#1 GDD§2#1
Prompts_02_FirstSightWheatField,FirstSight.WheatField,The wheat is fat and smug. Fire runs in rows — let it run.,Wheat field — burn the crop: fire spreads row to row. Torch: Q,Q,GDD§2.8#2 GDD§2.8#3 GDD§2.1#1 GDD§2.3#1 GDD§2.8#4
Prompts_03_FirstSightWindmill,FirstSight.Windmill,"Her sails first, goblin. A landmark is only useful to me on fire.","Windmill — light the frame: Stage 1, Ablaze. Torch: Q",Q,GDD§2.8#2 GDD§2.8#4 GDD§2.3#1 GDD§2.1#1
Prompts_11_FirstSightStatue,FirstSight.Statue,"Behold the dragonslayer, goblin. A lump of rock with a haircut. Fire won't touch him; stone doesn't care. Hook him and stroll. ...adequate.","King's Statue: pull it down, the lie falls with it — Grapple (Q)",Q,GDD§6#6 GDD§4#0 GDD§4#1 A02§2.8#3 A02§2.8#6
Prompts_04_WindmillStage1Ablaze,WindmillStage1.Ablaze,"Her skin's alight, goblin, but it's the dust in her belly that'll bring her down — put fire through a window.",Windmill: Ablaze — needs a window shot. Aimed torch throw: Q,Q,GDD§2.8#2 GDD§2.8#4 GDD§2.3#1
Prompts_05_FirstSightForestPatrol,FirstSight.ForestPatrol,"Torchlight in the trees. A patrol is a thing you choose to meet, goblin.",Patrol ahead — crouch in cover: a broken look is no alarm. Crouch,Crouch,GDD§2.1#1 GDD§2.4#1 GDD§2.4#2 GDD§2.8#3 GDD§2.8#4
Prompts_06_FirstSightUnawareGuard,FirstSight.UnawareGuard,Behind him. Quietly. The county will miss him eventually.,"Unaware guard — take him down: silent, but the body still talks. Hold F behind him",F,GDD§2.4#1 GDD§2.4#2 GDD§2.6#1 GDD§2.8#4
Prompts_07_FirstSightCivilian,FirstSight.Civilian,"Ten pounds of nothing in an apron, goblin. She cannot hurt you — but she can run, and she can point.","Civilian — unarmed, and a witness. Take her down from behind. Hold F",F,GDD§7#1 GDD§4#1
Prompts_08_FirstSightLivestockPen,FirstSight.LivestockPen,Their wealth has trotters. Take it by the middle and don't listen to it.,Pig in the pen — sling it over your shoulder: +40 loot. Hold F,F,GDD§2.7#0 GDD§2.8#2 GDD§2.3#1 GDD§2.8#4
Prompts_09_FirstCourierCargoAndHorde,FirstCourier.CargoAndHorde,Let a lesser goblin do the walking. Your hands are wanted for arson.,Point a goblin at the pig and it couriers the loot home. Order wheel: R,R,GDD§2.5#0 GDD§2.7#0 GDD§2.7#2 GDD§2.8#4
Prompts_10_StatueHooked,Statue.Hooked,"Forty feet of stone, and the man was five foot four. Lean on the rope, goblin. Let us see how a god holds his footing. ...adequate.",Statue: Hooked — walk away to pull it down,Move,GDD§6#6 GDD§4#0 A02§2.10#2 A02§2.8#3
