Name,trigger,category,line,note,sources
Whispers_01_ClockTenMinutes,Clock.TenMinutes,ClockNudge,"Ten minutes, goblin. How goes the arson? …Don't answer. I can smell it from here.","§2.2 clock pressure: the Overlord's whispers check in at the 10-minute mark; tier-1 register is mockery, not mourning.",GDD§2.2#0 GDD§2.10#3
Whispers_02_ClockFiveMinutes,Clock.FiveMinutes,ClockNudge,"Five minutes. My stones are back through the trees, goblin — follow the road out and keep the mill at your back. Start walking while you gloat.","§2.2: at 5 minutes the whisper names a direction; the direction rides only on §2.8's authored wayfinding cues (converging roads, the windmill silhouette over the treetops), and §2.1 places the runic site in the forest clearing beyond the trees.",GDD§2.2#0 GDD§2.1#1 GDD§2.8#3
Whispers_03_ClockTwoMinutes,Clock.TwoMinutes,ClockNudge,Two minutes. There. The circle. Into it. Drop the chicken if you must — …don't drop the chicken.,§2.2: inside the final 2 the Overlord points you at the extraction outright; portal dies at 0:00 plus a 90-second collapse. Chicken is a §2.9 loot-kind steal.,GDD§2.2#0 GDD§2.9#0
Whispers_04_ObjectiveGranaryFirstTorch,Objective.Granary.FirstTorch,ObjectiveBark,"Their whole winter, goblin, stacked in one shed — with every spear in the hamlet standing round it. Light it and let them argue about badgers.","Sibling of the windmill Stage-1 bark for the §2.8 granary: a compact blaze in the village core where the guards are thickest, plus the §2.10 denial joke. First-time dismissible prompt per §2.8.",GDD§2.8#1 GDD§2.8#2 GDD§2.8#3 GDD§2.10#1
Whispers_05_ObjectiveFieldFirstTorch,Objective.Field.FirstTorch,ObjectiveBark,"One row takes the next, goblin. Set the edge alight and walk away — the wheat does my work while they queue at the well with buckets.","Sibling of the windmill Stage-1 bark for the §2.8 wheat field: fire spreads row to row, the most visible arson and the hardest to douse; §2.6 bucket brigade forms at the well.",GDD§2.8#1 GDD§2.8#2 GDD§2.6#3 GDD§2.8#3
Whispers_06_MilestoneFirstLootBanked,Milestone.FirstLootBanked,MilestoneWhisper,The first sack crosses into my stones. It is mine now. No bell in Groatsworth can un-steal it.,"§2.7/§2.6/§1: physical loot banks permanently the instant it reaches the stones, wipe-proof.",GDD§1#2 GDD§2.6#3 GDD§3.1#5
Whispers_07_MilestoneFirstPigBanked,Milestone.FirstPigBanked,MilestoneWhisper,"A pig. Through the ancient portal of His Eternal Darkness. …Set it down gently. It is banked, and it is beautiful.",§2.9 stolen pig is loot-kind (40) and banks on delivery; §2.10 apocalyptic gravitas applied to stealing pigs.,GDD§2.9#0 GDD§2.10#0 GDD§2.7#3
Whispers_08_MilestoneFirstPrisonerBanked,Milestone.FirstPrisonerBanked,MilestoneWhisper,"One of them, roped and walking into the dark. He'll know the word 'goblin' by morning. This is the tribute I wanted.","§2.6/§2.7: bound civilians are loot that walks itself, banking at the stones; marching prisoners home is the tribute His Eternal Darkness actually wants, not a body count.",GDD§2.6#3 GDD§2.7#3 GDD§2.9#0
Whispers_09_MilestoneNoneLeftBehind,Milestone.NoneLeftBehind,MilestoneWhisper,"Every villager in the hamlet, marched home alive. Let the empty routines explain themselves. Who do they blame now — the badger?","§2.9 'None Left Behind' +40 is scored as every civilian in the hamlet marched home alive (bind/capture applies to civilians only, §2.6); §2.10 the denial straining — one missing villager is a badger, a whole hamlet's worth is the punchline landing.",GDD§2.9#0 GDD§2.10#1 GDD§2.6#3
Whispers_10_MilestonePortalOpen,Milestone.PortalOpen,MilestoneWhisper,"Granary, field, mill — all three ash. The stones are open, goblin. Come home; nothing else in this county will keep you.",§2.1/§1: burning the last of the three objectives flares the stones open as the extraction portal; §2.8 this hamlet carries one of each.,GDD§2.1#1 GDD§1#2 GDD§2.8#3
Whispers_11_EndExtractionCaptureHeavy,End.Extraction.CaptureHeavy,EndVerdict,"You brought me a rope of them, blinking and alive. Not coins — proof they remember us. …Adequate.",§2.10 asks explicitly for a distinct verdict flavor when the raid comes home with a rope chain of prisoners: 'Bring me proof they remember us. …adequate.',GDD§2.10#1 GDD§2.10#2 GDD§2.7#3
Whispers_12_EndExtractionRichOnly,End.Extraction.RichOnly,EndVerdict,"Gold, gold, and a pig. Very shiny, goblin. I have seen rats haul more, and rats bring me witnesses. …Adequate.","§2.10's 'merely rich' counterpart to the capture verdict, keeping the §2.1 rats crack; tier 1 mocks more than it mourns.",GDD§2.10#1 GDD§2.1#1 GDD§2.10#3 GDD§2.9#0
Whispers_13_EndWipeLivesSpent,End.Wipe.LivesSpent,EndVerdict,"Five deaths, goblin. Your deeds keep a quarter of themselves; the rest burned where you fell. What reached my stones is still mine. Mostly mine.","§2.2/§1 loss condition: all 5 lives spent, only 25% of unbanked deeds kept, while loot already at the stones or the Warren is safe.",GDD§2.2#0 GDD§1#2 GDD§2.6#3
Whispers_14_EndLeftBehind,End.LeftBehind,EndVerdict,"The stones have gone cold and you are still out there, holding a chicken. Keep it. Groatsworth is your home now. …I'll tell them it was a badger.","§2.2/§1 loss condition: outside the circle when the portal dies after the 90-second collapse, whispers going cold; §2.10 badger denial joke.",GDD§2.2#0 GDD§1#2 GDD§2.10#1 GDD§2.9#0
